name	b_number	multi_fun
thrL	b0001	BC-1.5.1.8:BC-3
thrA	b0002	BC-1.5.1.21:BC-1.5.1.7
thrB	b0003	BC-1.5.1.8
thrC	b0004	BC-1.5.1.8
yaaX	b0005	Conserved-Hypothetical-ORFs
yaaA	b0006	BC-5.5.6
yaaJ	b0007	BC-4.2.A:BC-6.1
talB	b0008	BC-1.7.3
mog	b0009	BC-1.5.3.4
satP	b0010	BC-4.2.A
yaaW	b0011	Unclassified-Genes
mbiA	b0012	ORFs
yaaI	b0013	Conserved-Hypothetical-ORFs
dnaK	b0014	BC-2.3.4:BC-5.1:BC-5.5.1
dnaJ	b0015	BC-2.3.4
insL-1	b0016	BC-8.3
hokC	b4412	BC-5.6.3
mokC	b0018	BC-5.6.3
nhaA	b0019	BC-4.2.A:BC-5.5.4:BC-6.1
nhaR	b0020	BC-2.2.2:BC-3.1.2.2:BC-3.3.1:BC-5.5.4
insB-1	b0021	BC-8.3
insA-1	b0022	BC-8.3
rpsT	b0023	BC-2.3.2:BC-2.3.8:BC-3.1.3.3:BC-6.6
yaaY	b0024	ORFs
ribF	b0025	BC-1.5.3.9
ileS	b0026	BC-2.3.1
lspA	b0027	BC-2.3.5:BC-6.1
fkpB	b0028	BC-2.3.4
ispH	b0029	BC-1.5.3.11:BC-5.6.4
rihC	b0030	BC-1.7.33
dapB	b0031	BC-1.5.1.7:BC-6.2
carA	b0032	BC-1.5.1.3:BC-1.5.2.2
carB	b0033	BC-1.5.1.3:BC-1.5.2.2
caiF	b0034	BC-1.1.4:BC-1.7.1:BC-2.2.2:BC-3.1.2.2:BC-3.3.1
caiE	b0035	BC-1.1.4:BC-1.7.22
caiD	b0036	BC-1.7.22
caiC	b0037	BC-1.1.4
caiB	b0038	BC-1.7.22
caiA	b0039	BC-1.4.2:BC-1.7.22
caiT	b0040	BC-1.1.1:BC-4.2.A:BC-6.1
fixA	b0041	BC-1.4
fixB	b0042	BC-1.4
fixC	b0043	BC-1.7.22
fixX	b0044	BC-1.7.22
yaaU	b0045	BC-4.2.A:BC-6.1
kefF	b0046	BC-1:BC-3.1.3.3:BC-4
kefC	b0047	BC-4.2.A:BC-5.6.2:BC-6.1
folA	b0048	BC-1.5.3.2:BC-1.7.17
apaH	b0049	BC-1.7.33:BC-2.2.4
apaG	b0050	ORFs
